community_id,size,top_institutions,top_topics
141,4,"University of California, Davis (2), Federal Reserve Bank of Cleveland (1), Brandeis University (1)","Macro / Monetary Policy & Central Banking (4), Macro / Financial Markets & Stability (1)"
139,4,"National Sun Yat-sen University (1), Sun Yat-sen University (1), Universitat Pompeu Fabra (1)",Macro / Financial Markets & Stability (4)
174,4,"Federal Reserve Bank of Richmond (1), Federal Reserve Bank of San Francisco (1), University of Richmond (1)",Macro / Fiscal Policy (4)
155,4,"Princeton University (1), Columbia University (1), Electronic Product Services (Czechia) (1)",Econometrics / Causal Inference & Identification (4)
140,4,"United States Census Bureau (1), University of Notre Dame (1), Mitchell Institute (1)","Applied / Labor Economics (3), Applied / Education Economics (2)"
157,4,"Virginia Commonwealth University (1), Princeton University (1), Banco Central de Chile (1)","Applied / Corporate & Household Finance (3), Macro / Business Cycles & Growth (2)"
166,4,"University of Illinois Urbana-Champaign (2), University of Warwick (1), University of Hong Kong (1)","Macro / Fiscal Policy (3), Micro / Auctions & Market Design (2)"
158,4,"Brown University (3), Hong Kong University of Science and Technology (1), University of Hong Kong (1)","Micro / Auctions & Market Design (3), Applied / Other / Interdisciplinary (2)"
173,4,"Columbia University (1), University of Florida (1), New York University (1)",Applied / Education Economics (4)
171,4,"Center for Interuniversity Research and Analysis on Organizations (2), RAND Corporation (1), Université du Québec à Montréal (1)",Applied / Health Economics (4)
170,4,"National Bureau of Economic Research (2), Federal Reserve Board of Governors (1), Escola de Economia de São Paulo (1)",Applied / International Trade (4)
169,4,"University of Chicago (3), University of California San Diego (1)","Econometrics / Machine Learning in Economics (3), Micro / Game Theory & Mechanism Design (3), Micro / Auctions & Market Design (2)"
168,4,"IPAG Business School (1), Paris School of Economics (1), Adam Smith Institute (1)",Micro / General Economic Theory (4)
167,4,"Duke University (1), World Bank (1), Stellenbosch University (1)",Applied / Labor Economics (4)
172,4,"University of Chicago (1), Georgetown University (1), Utrecht University (1)",Applied / Development Economics (4)
165,4,"Universidad Carlos III de Madrid (2), University of Alicante (1)",Applied / Education Economics (4)
163,4,"World Bank (2), World Bank Group (2), Université Clermont Auvergne (1)",Applied / Development Economics (4)
162,4,"Stockholm University (2), Makerere University (1), Università Cattolica del Sacro Cuore (1)",Applied / Development Economics (4)
161,4,"The University of Texas at Austin (1), Stockholm University (1), Inter-American Development Bank (1)",Applied / Education Economics (4)
160,4,"Harvard University (1), Hoover Institution (1), Stanford University (1)","Macro / Monetary Policy & Central Banking (3), Applied / Corporate & Household Finance (2)"
164,4,"Impact (3), University of California, Berkeley (1)",Applied / Development Economics (4)
159,4,"Peking University (1), HSBC Holdings (1), Center for Economic and Policy Research (1)",Micro / Industrial Organization & Competition (4)
309,3,"Universidad Pública de Navarra (UPNA) (3), Gobierno de Navarra (3), IESE Business School (3)",Micro / Industrial Organization & Competition (3)
303,3,"Bank of Canada (2), Federal Reserve Bank of St. Louis (1)",Applied / Labor Economics (3)
304,3,"University of Pennsylvania (1), University of California, Santa Barbara (1), Koç University (1)",Micro / Industrial Organization & Competition (3)
305,3,"Center for Economic and Policy Research (1), University of British Columbia (1), University of Lausanne (1)",Macro / Financial Markets & Stability (3)
306,3,"University of California, Los Angeles (1), Consejo Nacional de Ciencia y Tecnología (1), National Bureau of Economic Research (1)","Applied / Labor Economics (2), Applied / Public Finance & Taxation (2)"
307,3,"Imperial College London (2), NIHR Imperial Biomedical Research Centre (1), Commonwealth Education Trust (1)",Macro / Financial Markets & Stability (3)
308,3,"Central European University (1), Agricultural & Applied Economics Association (1)","Applied / Development Economics (2), Applied / Political Economy & Governance (2)"
312,3,"Free University of Bozen-Bolzano (1), University of Rome Tor Vergata (1), Center for Economic and Policy Research (1)",Applied / Political Economy & Governance (3)
310,3,"University College London (2), Cemmap (1), Institute and Faculty of Actuaries (1)",Micro / Industrial Organization & Competition (3)
311,3,"California Institute of Technology (1), Tel Aviv University (1), Claremont McKenna College (1)",Applied / Other / Interdisciplinary (3)
313,3,"Harvard University (1), Center for Economic and Policy Research (1), Ludwig-Maximilians-Universität München (1)",Applied / Corporate & Household Finance (3)
314,3,"Maastricht University (2), Aarhus University (1)",Applied / Labor Economics (3)
315,3,"University of Georgia (1), Godfrey Okoye University (1), University College London (1)","Micro / Auctions & Market Design (2), Macro / Financial Markets & Stability (2)"
316,3,"University College London (2), University of California, Berkeley (2)",Econometrics / Statistical & Bayesian Methods (3)
317,3,"University of Mannheim (3), Centre for European Economic Research (1)",Applied / Labor Economics (3)
302,3,"University of Iowa (2), Temple University (2), University of Pennsylvania (1)",Macro / Financial Markets & Stability (3)
294,3,"Central European University (1), University of Bonn (1), Goethe University Frankfurt (1)",Micro / Behavioral & Experimental Economics (3)
301,3,"Japan University of Economics (2), The University of Tokyo (2), Massachusetts Institute of Technology (1)",Micro / Game Theory & Mechanism Design (3)
291,3,"Chung-Ang University (1), Georgia State University (1), University of Wisconsin–Madison (1)",Applied / Labor Economics (3)
319,3,"HKU-Pasteur Research Pole (1), University of Hong Kong (1), Hong Kong Baptist University (1)",Applied / Development Economics (3)
286,3,"University of Houston (2), Seoul National University (1), Korea Institute of Finance (1)",Macro / Financial Markets & Stability (3)
287,3,"Federal Reserve Board of Governors (2), University of Chicago (1)",Micro / Industrial Organization & Competition (3)
288,3,"Yale University (2), Princeton University (1)",Micro / General Economic Theory (3)
289,3,"National Bureau of Economic Research (1), University of Chicago (1), Texas A&M University – San Antonio (1)",Applied / Environmental & Energy Economics (3)
290,3,"National Bureau of Economic Research (3), Princeton University (3), Yale University (3)",Micro / General Economic Theory (3)
292,3,"Centre for Economic Policy Research (2), University of Edinburgh (1), Ca' Foscari University of Venice (1)",Applied / Corporate & Household Finance (3)
300,3,"Johns Hopkins University (1), Wheaton College - Illinois (1), University of Notre Dame (1)",Applied / Labor Economics (3)
293,3,"Yale University (1), University College London (1)",Applied / International Trade (3)
295,3,"Trinity College Dublin (3), University of Gothenburg (3)",Applied / Development Economics (3)
296,3,"Princeton University (3), University of Michigan (3)","Micro / Game Theory & Mechanism Design (3), Micro / General Economic Theory (2)"
297,3,"Duke University (1), Nuffield Foundation (1), University of Oxford (1)",Applied / Education Economics (3)
298,3,"Federal Reserve (2), Federal Reserve Board of Governors (2), European University Institute (1)",Macro / Financial Markets & Stability (3)
299,3,"Singapore Management University (2), Duke University (1)",Macro / Financial Markets & Stability (3)
318,3,"Decision Sciences (United States) (2), HEC Paris in Qatar (2), HEC Paris (2)","Applied / Other / Interdisciplinary (3), Micro / Game Theory & Mechanism Design (1)"
337,3,Federal Reserve Bank of Richmond (2),Applied / Environmental & Energy Economics (3)
320,3,"Yale University (1), Center for Economic and Policy Research (1), BREAD (Bureau for Research and Economic Analysis of Development) (1)","Applied / International Trade (2), Applied / Labor Economics (2)"
346,3,,Macro / Monetary Policy & Central Banking (3)
340,3,Federal Reserve Bank of Minneapolis (2),Macro / Financial Markets & Stability (3)
341,3,"California Institute of Technology (1), University of Toronto (1)",Macro / Financial Markets & Stability (3)
342,3,"Imperial College London (1), New York University (1), Federal Reserve Bank of Chicago (1)",Macro / Monetary Policy & Central Banking (3)
343,3,"Economic Research Centre (1), Quantum Devices (United States) (1), London School of Economics and Political Science (1)",Macro / Financial Markets & Stability (3)
344,3,"University of the Humanities (2), University of Hong Kong (2), Peking University (1)",Applied / Political Economy & Governance (3)
345,3,,Applied / Education Economics (3)
347,3,"McGill University (1), University of Toronto (1), California Southern University (1)",Applied / Labor Economics (3)
338,3,,Macro / Financial Markets & Stability (3)
348,3,"London School of Economics and Political Science (1), UNSW Sydney (1), World Bank (1)","Econometrics / Causal Inference & Identification (3), Applied / Development Economics (1)"
349,3,"Federal Reserve Board of Governors (1), BI Norwegian Business School (1), University of Chicago (1)","Macro / Monetary Policy & Central Banking (3), Applied / Labor Economics (1)"
350,3,"Bank of England (1), Federal Reserve (1), Federal Reserve Board of Governors (1)",Macro / Monetary Policy & Central Banking (3)
351,3,,Micro / Industrial Organization & Competition (3)
352,3,Federal Reserve Board of Governors (3),Macro / Financial Markets & Stability (3)
353,3,"University of Michigan (1), George Mason University (1), Federal Reserve Bank of Chicago (1)",Applied / Public Finance & Taxation (3)
339,3,"Virginia Tech (1), University of California, Berkeley (1), University of California, Santa Cruz (1)",Micro / Behavioral & Experimental Economics (3)
284,3,"Northwestern University (1), New York University (1), University of Oxford (1)",Applied / Development Economics (3)
321,3,"Los Angeles Police Department (1), Princeton University (1), National Bureau of Economic Research (1)",Applied / Political Economy & Governance (3)
328,3,"Chinese University of Hong Kong (1), University of Bonn (1), University of Tsukuba (1)",Econometrics / Statistical & Bayesian Methods (3)
322,3,"Indiana University (1), Yeshiva University (1)",Micro / Game Theory & Mechanism Design (3)
323,3,Hebrew University of Jerusalem (1),Micro / Game Theory & Mechanism Design (3)
324,3,"Center for Economic and Policy Research (1), Ludwig-Maximilians-Universität München (1), University of Oxford (1)",Macro / Business Cycles & Growth (3)
325,3,"Leibniz Institute for Financial Research SAFE (1), London School of Economics and Political Science (1), Harvard University (1)","Macro / Monetary Policy & Central Banking (2), Applied / International Trade (2), Macro / Financial Markets & Stability (2)"
326,3,"Federal Reserve (1), Federal Reserve Board of Governors (1), Stanford University (1)",Macro / Monetary Policy & Central Banking (3)
327,3,"University of Notre Dame (1), Peterson Institute for International Economics (1), Dartmouth College (1)",Applied / International Trade (3)
329,3,"Bank of Italy (2), London School of Economics and Political Science (1)",Macro / Financial Markets & Stability (3)
336,3,"University of California, Los Angeles (1), Northwestern University (1), Carnegie Mellon University (1)",Macro / Financial Markets & Stability (3)
330,3,,Applied / Labor Economics (3)
331,3,"United States Department of the Treasury (1), Yale University (1)","Applied / Labor Economics (3), Applied / Corporate & Household Finance (1)"
332,3,"University of Copenhagen (2), University of Chicago (1)",Applied / Labor Economics (3)
333,3,"Columbia University (1), Brown University (1)",Applied / Labor Economics (3)
334,3,"Faculdades Guarulhos (2), Fundação de Apoio à Universidade Federal de São Paulo (1)",Applied / Environmental & Energy Economics (3)
335,3,"University of Milan (2), Politecnico di Milano (2), University of Oxford (1)",Econometrics / Machine Learning in Economics (3)
285,3,"National Bureau of Economic Research (3), Economic Policy Institute (3), Yale University (3)",Macro / Monetary Policy & Central Banking (3)
265,3,"Center for Economic and Policy Research (1), Centre de Recherches Politiques de Sciences Po (1), Centre Pour La Recherche Economique et ses Applications (1)",Applied / Urban & Regional Economics (3)
283,3,"UCLA Health (2), University of Minnesota (1)","Applied / Labor Economics (3), Micro / Game Theory & Mechanism Design (2)"
237,3,"University of Cologne (3), CMR University (3), École Polytechnique (1)",Applied / Labor Economics (3)
231,3,"University of Toronto (1), Bank of Mexico (1), University of Exeter (1)",Applied / Environmental & Energy Economics (3)
232,3,"Columbia University (1), National Taiwan University (1), National Bureau of Economic Research (1)",Macro / Financial Markets & Stability (3)
233,3,"Center for Economic and Policy Research (1), Johns Hopkins University (1), Centre National de la Recherche Scientifique (1)",Macro / Financial Markets & Stability (3)
234,3,"National Bureau of Economic Research (2), University of California, Berkeley (1), Stanford University (1)",Applied / Health Economics (3)
235,3,"Shanghai University of Finance and Economics (1), Shanghai University of International Business and Economics (1), Cheung Kong Graduate School of Business (1)",Applied / Environmental & Energy Economics (3)
236,3,Brigham Young University (3),Econometrics / Causal Inference & Identification (3)
238,3,"University of California, Berkeley (1), Danish Ministry of Finance (1), Danmarks Nationalbank (1)",Applied / Public Finance & Taxation (3)
229,3,"Durham University (2), Centre d'Économie de la Sorbonne (1), Université Paris 1 Panthéon-Sorbonne (1)",Macro / Financial Markets & Stability (3)
239,3,"Toulouse School of Economics (1), Johns Hopkins University (1), New York University (1)",Micro / Industrial Organization & Competition (3)
240,3,"University of Michigan (2), KU Leuven (1)",Applied / Labor Economics (3)
241,3,"National University of Singapore (1), University of Chicago (1), Cornell University (1)",Applied / Political Economy & Governance (3)
242,3,"Princeton University (2), National Bureau of Economic Research (2), Centre for Economic Policy Research (2)","Micro / General Economic Theory (3), Micro / Auctions & Market Design (2)"
243,3,Arizona State University (3),Applied / Environmental & Energy Economics (3)
244,3,"Georgetown University (1), New York University (1), University of Oxford (1)","Micro / Behavioral & Experimental Economics (2), Applied / Development Economics (2)"
230,3,University of Exeter (2),Micro / Industrial Organization & Competition (3)
228,3,"Princeton University (1), Fundação Getulio Vargas (1), Insper (1)",Applied / Environmental & Energy Economics (3)
246,3,"Aix-Marseille Université (1), Université Paris Sciences et Lettres (1), École Nationale Supérieure des Mines de Paris (1)",Applied / Environmental & Energy Economics (3)
219,3,"University of Hong Kong (1), Institute for Social and Economic Research (1), The University of Osaka (1)",Micro / General Economic Theory (3)
213,3,"Northwestern University (1), University of Surrey (1), Arizona State University (1)",Micro / Auctions & Market Design (3)
214,3,"New York University (1), University of California, Davis (1), Simon Fraser University (1)",Micro / General Economic Theory (3)
215,3,"University of Connecticut (1), University of Georgia (1), University of Atlanta (1)",Applied / Health Economics (3)
216,3,"Universidad Carlos III de Madrid (1), University of Tübingen (1), McGill University (1)",Applied / Corporate & Household Finance (3)
217,3,"University of Nottingham Ningbo China (1), Aarhus University (1), University of Nottingham (1)",Micro / Behavioral & Experimental Economics (3)
218,3,"Massachusetts Institute of Technology (1), Microsoft Research (India) (1), Microsoft Research New England (United States) (1)","Econometrics / Causal Inference & Identification (3), Econometrics / Time Series & Panel Data Methods (1)"
220,3,"Purdue University West Lafayette (2), University of Manchester (1)",Applied / Other / Interdisciplinary (3)
227,3,"University of California, Davis (1)",Applied / Public Finance & Taxation (3)
221,3,"University of Oxford (1), University of Bern (1), McGill University (1)",Macro / Financial Markets & Stability (3)
222,3,"University of Pennsylvania (2), University of California, Los Angeles (1)",Macro / Monetary Policy & Central Banking (3)
223,3,University College Dublin (2),Applied / Economic History (3)
224,3,"University of Maryland, College Park (1), University of Virginia (1), University of Kentucky (1)",Applied / International Trade (3)
225,3,"Federal Reserve Bank of New York (1), New York University (1), Indiana University (1)","Micro / Auctions & Market Design (3), Micro / Game Theory & Mechanism Design (2)"
226,3,"Sabancı Üniversitesi (1), Durham University (1), Centro de Estudios Monetarios y Financieros (1)",Macro / Fiscal Policy (3)
245,3,"University of Wisconsin–Madison (1), Rutgers, The State University of New Jersey (1), Rutgers Sexual and Reproductive Health and Rights (1)",Micro / Industrial Organization & Competition (3)
247,3,"National Bureau of Economic Research (3), Seoul National University (3)",Macro / Monetary Policy & Central Banking (3)
282,3,"Stanford University (2), Hoover Institution (1), University of Toronto (1)","Micro / Auctions & Market Design (2), Micro / General Economic Theory (2)"
274,3,"National Bureau of Economic Research (2), United States Department of Justice (1), Centre for Economic Policy Research (1)",Applied / Health Economics (3)
268,3,"Institut d'Etudes Politiques de Paris (1), University of Wisconsin–Madison (1), Aarhus University (1)",Macro / Business Cycles & Growth (3)
269,3,"TU Dortmund University (1), Swedish House of Finance (1), Erasmus University Rotterdam (1)",Applied / Corporate & Household Finance (3)
270,3,"Baruch College (1), University of Chicago (1), Columbia University (1)","Micro / Auctions & Market Design (3), Micro / General Economic Theory (1), Econometrics / Statistical & Bayesian Methods (1)"
271,3,"Inter-American Development Bank (1), National Bureau of Economic Research (1), Boston University (1)",Micro / Industrial Organization & Competition (3)
272,3,,Applied / Development Economics (3)
273,3,"Dartmouth College (1), Dartmouth Hospital (1)",Micro / Industrial Organization & Competition (3)
275,3,"University of British Columbia (2), Duke University (1)","Applied / Labor Economics (3), Applied / Development Economics (1)"
266,3,"Chinese University of Hong Kong (2), National Bureau of Economic Research (1), Centre for Economic Policy Research (1)",Applied / Development Economics (3)
276,3,"Johns Hopkins University (3), Centre for Economic Policy Research (2), Federal Reserve Bank of Chicago (1)",Macro / Monetary Policy & Central Banking (3)
277,3,"Stanford University (1), Banco de Portugal (1), Boston College (1)",Macro / Financial Markets & Stability (3)
278,3,"University of North Carolina at Charlotte (1), Brigham Young University (1), Clemson University (1)",Macro / Business Cycles & Growth (3)
279,3,"University of Wisconsin–Madison (3), Australian Regenerative Medicine Institute (3), Monash University (3)",Macro / Fiscal Policy (3)
280,3,"Georgia Institute of Technology (3), Federal Reserve Board of Governors (3), Rutgers Sexual and Reproductive Health and Rights (3)",Macro / Monetary Policy & Central Banking (3)
281,3,"Federal Reserve Bank of Minneapolis (1), University College Dublin (1), Reichman University (1)",Applied / International Trade (3)
267,3,"Lancaster University (1), University of East Anglia (1), University of Cagliari (1)",Micro / Behavioral & Experimental Economics (3)
264,3,University of Chicago (1),Micro / Industrial Organization & Competition (3)
248,3,"Peking University (1), HSBC Holdings (1), The University of Texas at Dallas (1)",Micro / Behavioral & Experimental Economics (3)
255,3,"Rice University (2), New York University (1)",Micro / Auctions & Market Design (3)
249,3,"Yale University (2), Columbia University (1)",Econometrics / Causal Inference & Identification (3)
250,3,"North Carolina State University (1), Nagoya University (1), University of Southern Denmark (1)",Micro / Game Theory & Mechanism Design (3)
251,3,"IZA - Institute of Labor Economics (1), Tinbergen Institute (1), University of Amsterdam (1)",Applied / Labor Economics (3)
252,3,"Ifo Institute for Economic Research (1), Ludwig-Maximilians-Universität München (1), University of Bristol (1)",Applied / Development Economics (3)
253,3,,Micro / Behavioral & Experimental Economics (3)
254,3,"University of Chicago (1), Harvard University (1), University of Trento (1)",Micro / Behavioral & Experimental Economics (3)
256,3,University of California San Diego (3),Econometrics / Causal Inference & Identification (3)
263,3,"National Bureau of Economic Research (2), University of Pennsylvania (1), University of California, Los Angeles (1)","Applied / Corporate & Household Finance (2), Micro / General Economic Theory (2)"
257,3,"London School of Economics and Political Science (3), Laser Scan Engineering (United Kingdom) (2)",Applied / Political Economy & Governance (3)
258,3,"Erasmus University Rotterdam (2), University of Toronto (1), Hebrew University of Jerusalem (1)",Micro / Behavioral & Experimental Economics (3)
259,3,"University of California, Berkeley (1), Birkbeck, University of London (1), Universidad Torcuato Di Tella (1)",Macro / Financial Markets & Stability (3)
260,3,Bank of Italy (3),Applied / Political Economy & Governance (3)
261,3,"University of California, Davis (1), Georgetown University (1), Peking University (1)",Macro / Monetary Policy & Central Banking (3)
262,3,University of Pittsburgh (3),Micro / Behavioral & Experimental Economics (3)
354,3,"Center for Economic and Policy Research (1), Centre National de la Recherche Scientifique (1), Paris School of Economics (1)",Applied / Labor Economics (3)
